IATI_Identifier,Title,Description,Reporting_Organization,Reporting_Org_Ref,Reporting_Org_Type,Activity_Status,Activity_Status_Code,Start_Date,End_Date,Total_Budget,Default_Currency,Recipient_Country,Recipient_Country_Percentage,Recipient_Region,Sectors,Sector_Codes,Participating_Organizations,Participating_Org_Refs,Participating_Org_Roles,Locations,Contact_Email,Contact_Telephone,Contact_Organization,Contact_Address,Document_Links,Document_Categories,Policy_Markers,Collaboration_Type,Default_Flow_Type,Default_Finance_Type,Default_Aid_Type,Default_Tied_Status,Activity_Scope,Hierarchy,Language,Project_URL
GB-GOV-13-FUND--GCRF-EP_T003790_1,GCRF Resilient Silk Route Cultural Heritage Network,"The proposed network speaks to the cities and sustainable infrastructure theme, especially conservation and cultural heritage with the role (mountain) cities and towns play as constellations of knowledge and culture. It will deliver under SDG11 for inclusive, safe and resilient cities on sub-themes 11.3 on inclusive planning and 11.4 on cultural heritage. New transport connectivity driven by China One Belt One Road (OBOR) initiative offers new hopes and opportunities to communities in mountainous regions of Central Asia. However, increased connectivity also carries the potential to introduce significant new societal challenges in regard to benefits and their (possibly unequal) distribution, as well as challenges for socio-cultural resilience and the mobilisation and protection of intangible and tangible local cultural heritages. Rapid changes pose threats to the conservation of traditional practices but also opportunities to develop them as resources (such as craft production and tourism sites) and also mobilising and developing them further as heritage assets. All too often, rapid and externally driven development has commodified local cultures, to be packaged for sale - with both control and most economic benefits going to outside developers. This is especially true of mountain, borderland communities whose interests are very often subordinated to state imperatives for territorial control and security. The proposed GCRF network will address such needs and help to preserve the local cultural heritages of formerly isolated mountain towns and, furthermore, keep these cultural heritages alive - as integral aspects of modern societies with clearly articulated pathways of cultural continuity. The network will aim specifically to develop capacities for interventions that focus on empowering (formerly) remote mountain towns and cities, enabling them to maintain greater control over their own cultures, development, and economic benefits.  The network takes this forward in the context of huge infrastructural development in terms of planned transit corridors to ask how this hard infrastructural development intersects with built heritage and the soft infrastructure of intangible heritages and culture. The current level of infrastructural planning largely has been driven at national levels by strategic regional visions, and most often has ignored or inadequately incorporated the needs and wishes of local communities. The resilience of local cultures to the 'shock' of the largescale development and increased connectivity currently affecting and rapidly changing the target region needs enhancing. Current ways of life and socio-cultural practices may be profoundly disrupted by all these changes, even as they bring new opportunities. Current infrastructural developments are introducing many, new economic imperatives, new contacts and new pressures and new demands on fragile socio-ecosystems systems - including encounters with tourists and traders alike, with all the new possibilities to sell products more widely. Immediate gains may be possible, for example through appropriate tourism and craft production opportunities, but these must be situated in the context of socio-cultural viability and global markets for products.

Objectives: The Global Challenges Research Fund (GCRF) supports cutting-edge research to address challenges faced by developing countries. The fund addresses the UN sustainable development goals. It aims to maximise the impact of research and innovation to improve lives and opportunity in the developing world.","DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY",GB-GOV-13,10,Finalisation,3,2019-09-30,2021-05-06,149814.18,GBP,PK; KG; TJ,33.333333333333336; 33.333333333333336; 33.333333333333336,,,43082,"DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY; ENGINEERING & PHYSICAL SCIENCES RESEARCH COUNCIL; ENGINEERING & PHYSICAL SCIENCES RESEARCH COUNCIL",GB-GOV-13; GB-GOV-EPSRC-12345; GB-GOV-EPSRC-12345,1; 2; 3,,enquiries@odamanagement.org,,Department of Business Energy and Industrial Strategy,"Department of Business, Energy and Industrial Strategy, 4th Floor, 1 Victoria Street, SW1H 0ET",,,,1,10,110,D02,5,2,1,en,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-EP_T003790_1/summary
GB-1-202328-113,Mapping Private Education Sector in Khyber Pakhtunkhwa through Centre for Economic Research in Pakistan (CERP),"This activity Mapping Private Education Sector in Khyber Pakhtunkhwa through Centre for Economic Research in Pakistan (CERP) is a component of Khyber Pukhtunkhwa Education Sector Programme reported by FCDO with a funding type of 111 - Not for profit organisation and a budget of £200,000. It works in the following sector(s): Primary education.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2019-09-30,2025-10-31,200000.0,GBP,PK,100.0,,Primary education,11220,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Centre for Economic Research in Pakistan (CERP)",GB-GOV-1; GB-GOV-1,1; 2; 4,North-West Frontier; Islamabad,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-202328-113/summary
GB-GOV-1-301583-105,Emergency Assistance to Floods victims,"This component is related to IOM supporting Floods 2022 affected population with Emergency Shelter, Non-Food Items (NFIs) and WASH support","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2022-09-26,2025-06-30,3999998.0,GBP,PK,100.0,,Relief co-ordination and support services; Material relief assistance and services,72050; 72010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); INTERNATIONAL ORGANIZATION FOR MIGRATION",GB-GOV-1; GB-GOV-1,1; 2; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-301583-105/summary
GB-1-202125-105,Pakistan floods accountable grant agreement,"This activity Pakistan floods accountable grant agreement is a component of Climate Research and Information Services in South Asia reported by FCDO with a funding type of 111 - Not for profit organisation and a budget of £96,166. It works in the following sector(s): Environmental research.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2010-09-20,2016-10-20,96166.0,GBP,PK,100.0,,Environmental research,41082,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Institute for Social and Environmental Transition",GB-GOV-1; GB-GOV-1; 21000,1; 2; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-202125-105/summary
GB-GOV-1-301583-101,UKaid In Kind Assistance and Humanitarian Department Support for Floods 2022,To support Pakistan Floods 2022 affected population with UK in kind assistance and technical expertise from humanitarian department support,"UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2022-09-05,2025-06-30,1997492.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); REDR AUSTRALIA; CANADEM; Danish Refugee Council; Palladium International Ltd (UK)",GB-GOV-1; GB-GOV-1; DK-CVR-20699310; GB-COH-02394229,1; 2; 4; 4; 4; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-301583-101/summary
GB-1-114133-101,Support to ICRC for Humanitarian Assistance to Those Affected By Conflict,"This activity Support to ICRC for Humanitarian Assistance to Those Affected By Conflict is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 111 - Not for profit organisation and a budget of £17,000,000. It works in the following sector(s): Material relief assistance and services, Immediate post-emergency reconstruction and rehabilitation.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-08-31,17000000.0,GBP,PK,100.0,,Material relief assistance and services; Immediate post-emergency reconstruction and rehabilitation,72010; 73010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,B01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-101/summary
GB-1-114133-102,HUMANITASSISTANCE and P0056 for Humanitarian assistance to those affected by conflict,"This activity HUMANITASSISTANCE and P0056 for Humanitarian assistance to those affected by conflict is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £8,532,897. It works in the following sector(s): Material relief assistance and services, Immediate post-emergency reconstruction and rehabilitation.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2013-02-28,8532897.0,GBP,PK,100.0,,Material relief assistance and services; Immediate post-emergency reconstruction and rehabilitation,72010; 73010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Crown Agents Limited; DAI Europe; Coffey International Development",GB-GOV-1; GB-GOV-1; GB-COH-03259922; GB-COH-1858644; GB-COH-3799145,1; 2; 4; 4; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-102/summary
GB-1-114133-119,Ag Early Recovery:Muslim Aid-Provision of Basic Water and Sanitation Facilities to Conflict Affected Population Especially the Women and Children,"This activity Ag Early Recovery:Muslim Aid-Provision of Basic Water and Sanitation Facilities to Conflict Affected Population Especially the Women and Children is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £600,000. It works in the following sector(s): Immediate post-emergency reconstruction and rehabilitation.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-10-31,600000.0,GBP,PK,100.0,,Immediate post-emergency reconstruction and rehabilitation,73010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-119/summary
GB-1-114133-120,"Ag International Rescue Committee-Wash Support for IDPS in Di Khan, Tank and BANNU","This activity Ag International Rescue Committee-Wash Support for IDPS in Di Khan, Tank and BANNU is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £362,501. It works in the following sector(s): Material relief assistance and services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-09-30,362501.0,GBP,PK,100.0,,Material relief assistance and services,72010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-120/summary
GB-1-114133-121,Ag Merlin-Enhancing the Capacities of Public Health Systems to Effectively Respond to IDP Crisis and Provision of Life Saving Interventions in Di Khan and Tank Dist,"This activity Ag Merlin-Enhancing the Capacities of Public Health Systems to Effectively Respond to IDP Crisis and Provision of Life Saving Interventions in Di Khan and Tank Dist is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £1,000,000. It works in the following sector(s): Material relief assistance and services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-11-30,1000000.0,GBP,PK,100.0,,Material relief assistance and services,72010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-121/summary
GB-1-114133-126,Ag Early Recovery: Red-R- Security Training and Cluster Capacity Building,"This activity Ag Early Recovery: Red-R- Security Training and Cluster Capacity Building is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £300,446. It works in the following sector(s): Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2012-09-30,300446.0,GBP,PK,100.0,,Relief co-ordination and support services,72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); RedR",GB-GOV-1; GB-GOV-1; 22000,1; 2; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-126/summary
GB-1-114133-127,Ag Early Recovery: Acted - Data Collection in MALAKAND Division As a Decision Support Tool and Repository for Information,"This activity Ag Early Recovery: Acted - Data Collection in MALAKAND Division As a Decision Support Tool and Repository for Information is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £460,273. It works in the following sector(s): Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-10-31,460273.0,GBP,PK,100.0,,Relief co-ordination and support services,72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-127/summary
GB-1-114133-128,Multilateral Support to WFP for Food Aid,"This activity Multilateral Support to WFP for Food Aid is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £5,910,000. It works in the following sector(s): Emergency food assistance.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2012-03-31,5910000.0,GBP,PK,100.0,,Emergency food assistance,72040,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); World Food Programme (WFP)",GB-GOV-1; GB-GOV-1; XM-DAC-41140,1; 2; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-128/summary
GB-1-114133-129,Ag Early Recovery: International Rescue Committee - Expanding Emergency Education and Fuel Efficiency Techniques and Tools to IDPS From MOHMAND and Khyber Agencies in JALOZAI Camp,"This activity Ag Early Recovery: International Rescue Committee - Expanding Emergency Education and Fuel Efficiency Techniques and Tools to IDPS From MOHMAND and Khyber Agencies in JALOZAI Camp is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £174,502. It works in the following sector(s): Material relief assistance and services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-09-30,174502.0,GBP,PK,100.0,,Material relief assistance and services,72010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-129/summary
GB-1-114133-104,"Accountable Grant Merlin: Provision of Emergency Health Services for the Conflict Affected Population in NWFP, Pakistan","This activity Accountable Grant Merlin: Provision of Emergency Health Services for the Conflict Affected Population in NWFP, Pakistan is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £689,157. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-07-31,689157.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-104/summary
GB-1-114133-105,Accountable Grant International Medical Corps: Comprehensive Emergency Health Care and Protection Services for Conflict Affected IDPS and Host Communities in Six Districts of NWFP,"This activity Accountable Grant International Medical Corps: Comprehensive Emergency Health Care and Protection Services for Conflict Affected IDPS and Host Communities in Six Districts of NWFP is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £497,097. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2012-09-30,497097.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); International Medical Corps UK",GB-GOV-1; GB-GOV-1; 21000,1; 2; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-105/summary
GB-1-114133-106,"Accountable Grant Concern WORDWIDE: Skill Development of IDPS & Host Communities in District MARDAN, the North West Frontier Province (NWFP), Pakistan","This activity Accountable Grant Concern WORDWIDE: Skill Development of IDPS & Host Communities in District MARDAN, the North West Frontier Province (NWFP), Pakistan is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £240,000. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-07-31,240000.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-106/summary
GB-1-114133-107,Accountable Grant Acted: Integrated Wash and Early Recovery Intervention for Highly Vulnerable IDPS and Host Communities,"This activity Accountable Grant Acted: Integrated Wash and Early Recovery Intervention for Highly Vulnerable IDPS and Host Communities is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £746,258. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-07-31,746258.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-107/summary
GB-1-114133-108,Accountable Grant Catholic Relief Services  NFI for Displaced Families From Conflict Areas in North Pakistan,"This activity Accountable Grant Catholic Relief Services  NFI for Displaced Families From Conflict Areas in North Pakistan is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £609,244. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-07-31,609244.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-108/summary
GB-1-114133-109,Accountable Grant Handicap International: Assistance to Vulnerable Persons and Their Families in NWFP Affected Areas,"This activity Accountable Grant Handicap International: Assistance to Vulnerable Persons and Their Families in NWFP Affected Areas is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £352,184. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2012-09-30,352184.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-109/summary
GB-1-114133-110,Accountable Grant Mercy Corps: Emergency Water Supply and Sanitation for IDPS and Hosting Communities in District MARDAN and SWABI,"This activity Accountable Grant Mercy Corps: Emergency Water Supply and Sanitation for IDPS and Hosting Communities in District MARDAN and SWABI is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £454,879. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-11-30,454879.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Mercy Corps Europe",GB-GOV-1; GB-GOV-1; 21000,1; 2; 4,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-110/summary
GB-1-114133-111,Accountable Grant Oxfam: Emergency Wash Response for Internally Displaced Persons (IDPS) in Pakistan’S North West Frontier Province,"This activity Accountable Grant Oxfam: Emergency Wash Response for Internally Displaced Persons (IDPS) in Pakistan’S North West Frontier Province is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £606,227. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-07-31,606227.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-111/summary
GB-1-114133-112,Accountable Grant Relief International: Transitional Sustainable Solutions for IDPS,"This activity Accountable Grant Relief International: Transitional Sustainable Solutions for IDPS is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £304,725. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2012-09-30,304725.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-112/summary
GB-1-114133-113,Accountable Grant SARHAD Rural Support Programme: Provision of  Non Food Items to IDPS,"This activity Accountable Grant SARHAD Rural Support Programme: Provision of  Non Food Items to IDPS is a component of Humanitarian Assistance to Those Affected By Conflict and Floods reported by FCDO with a funding type of 105 -  Humanitarian assistance and a budget of £250,104. It works in the following sector(s): Material relief assistance and services, Relief co-ordination and support services.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2008-09-01,2011-07-31,250104.0,GBP,PK,100.0,,Material relief assistance and services; Relief co-ordination and support services,72010; 72050,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,3,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-114133-113/summary
