reference_number,title,category,location,tor_document,application_form,source_page
529,TORs APWASI Training for PWDs Parents,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/529-47042-TORs - APWASI - Training for PWDs Parents (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
528,2.ToR Updated RFP DFCD Consultancy Services 13012025,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/528-40076-2.ToR Updated_RFP_DFCD_Consultancy Services 13012025 (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
527,RFP Wildlfie Laws Gap Analysis and Cirriculum Development Ver2,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/527-2750-RFP Wildlfie Laws Gap Analysis and Cirriculum Development Ver2.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
526,RFP for Climate change modelling in Bagrote,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/526-27930-RFP for Climate change modelling in Bagrote.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
525,TORs ESS Training (1),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/525-84859-TORs-ESS Training (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
524,TORs for Water Reserviors (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/524-74002-TORs for Water Reserviors (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
523,TOR Olive Grafting (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/523-45774-TOR-Olive Grafting (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
522,TORs Stakeholder mapping and CWP communication strategy r,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/522-64493-TORs Stakeholder mapping and CWP communication strategy r.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
520,TORs for Exit Strategy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/520-14606-TORs for Exit Strategy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
519,"ToRs Knowledge products, editing of the Reports DRR Project",Consultancy,,"http://wwf.org.pk/eoffice/consultancy/consultupload/519-78172-ToRs- Knowledge products, editing of the Reports -DRR Project (1).pdf",https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
518,Enhancing Water Productivity,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/518-91044-Enhancing Water Productivity.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
517,TORs for Third Party Technical Evaluation of Nike and Pepsi Project (2) (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/517-42698-TORs for Third Party Technical Evaluation of Nike and Pepsi Project (2) (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
516,TORs APWASI Documentary,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/516-66167-TORs-APWASI-Documentary (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
515,RFP for training on Value chain,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/515-46456-RFP for training on Value chain.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
514,RFP of Hydrogeological Assessment,Assessment/Study,,http://wwf.org.pk/eoffice/consultancy/consultupload/514-90864-RFP of Hydrogeological Assessment.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
513,IREGTVI Design Consultancy TORs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/513-90496-IREGTVI Design Consultancy TORs (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
512,ToRs for Consultancy of Interactive theatre,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/512-57744-ToRs for Consultancy of Interactive theatre (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
510,TOR External Audit,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/510-93994-TOR-External Audit (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
509,TOR External Audi,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/509-41795-TOR-External Audi (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
508,TOR Development of Annual Report (2024 2025) WRAP,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/508-55518-TOR-Development of Annual Report (2024-2025)-WRAP (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
507,RFP Agrobiodiversity 2024,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/507-74070-RFP-Agrobiodiversity-2024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
506,TORs TY 2018,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/506-68961-39-TORs TY-2018.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
505,TORs TY 2016,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/505-68200-TORs TY-2016.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
504,RFP Capacity building of field staff on alternative methods beyond synthetic fertilizers and 4R,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/504-5922-RFP-Capacity building of field staff on alternative methods  beyond synthetic fertilizers and 4R.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
503,TORS Audit OCP,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/503-36690-TORS-Audit-OCP.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
502,TOR + RFP External Audit IDH,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/502-17847-TOR + RFP-External Audit IDH.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
501,Development of District Level Climate Adaptation Plan of Khushab Punjab,General,Punjab,http://wwf.org.pk/eoffice/consultancy/consultupload/501-8359-Development of District Level Climate Adaptation Plan of Khushab Punjab (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
500,Capacity Building of Stakeholders on Nature Based Solution Interventions at Khushab Punjab,General,Punjab,http://wwf.org.pk/eoffice/consultancy/consultupload/500-32119-Capacity Building of Stakeholders on Nature Based Solution Interventions at Khushab Punjab.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
499,"Socio Economic Assessment Plan of Soon Valley, Khushab Punjab",Assessment/Study,Punjab,"http://wwf.org.pk/eoffice/consultancy/consultupload/499-88912-Socio-Economic Assessment Plan of Soon Valley, Khushab Punjab (1).pdf",https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
496,TOR Exploring Taunsa Community Stewardship,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/496-68779-TOR Exploring Taunsa-Community Stewardship final.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
495,GraphicDesignerConsultancy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/495-91440-GraphicDesignerConsultancy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
494,RFP of Catchment & Stakeholder Mapping,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/494-68111-RFP of Catchment & Stakeholder Mapping.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
493,RFP Hiring a consultant for implementing Trainings,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/493-87836-RFP - Hiring a consultant for implementing Trainings (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
492,TOR Citrus Training,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/492-38704-TOR-Citrus Training (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
491,RFP of Hydrological Study for AWS RYK Project Reviewed,Assessment/Study,RYK,http://wwf.org.pk/eoffice/consultancy/consultupload/491-14536-RFP of Hydrological Study for AWS RYK Project - Reviewed (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
489,USAID Consultancy TORs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/489-95428-USAID Consultancy TORs (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
488,TOR Technical Writer for Sustainable Infrastructure PD,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/488-62828-TOR-Technical Writer for Sustainable Infrastructure_PD.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
487,TOR Climate Change Adaptation Plans GB 02.10.2024,Consultancy,GB,http://wwf.org.pk/eoffice/consultancy/consultupload/487-52027-TOR - Climate Change Adaptation Plans GB 02.10.2024 Final.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
486,TOR Service Staff Training A1 A2,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/486-50710-TOR- Service Staff Training - A1 - A2.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
485,Final Terms of Refrence (ToRs) of Training with Health deptt.,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/485-90892-Final Terms of Refrence (ToRs) of Training with Health deptt. (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
484,ToRs M&E Gender IWT Project,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/484-83408-ToRs- M&E -Gender IWT Project (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
483,RFP TNC Audit,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/483-87808-RFP-TNC Audit.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
482,RFP for training on Mushroom harvesting),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/482-19213-RFP for training on Mushroom harvesting) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
481,RFP consultancy New Website,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/481-96394-RFP-consultancy New Website.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
480,TOR Skill development (3) (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/480-87510-TOR-Skill development (3) (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
479,"TOR Baseline study of floral diversity, ethanobotanical and traditional use of vulnerable species (1)",Assessment/Study,,"http://wwf.org.pk/eoffice/consultancy/consultupload/479-28283-TOR-Baseline study of floral diversity, ethanobotanical and traditional use of vulnerable species (1) (1).pdf",https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
478,Development of district level climate adaptation plan,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/478-23111-Development of district level climate adaptation plan (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
477,ToRs RFP Mammologist Palas valley 2024,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/477-80149-ToRs_RFP-Mammologist-Palas valley-2024 (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
476,MLP Consultancy TORs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/476-25988-MLP Consultancy TORs (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
475,RFP Better livestock management,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/475-17172-RFP-Better livestock management (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
474,TORs for PRB Photography and Documentary,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/474-64884-TORs for PRB Photography and Documentary.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
472,ToRs AVC Documentary New Format,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/472-34753-ToRs AVC Documentary New Format.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
471,RFP Revised,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/471-99311-RFP_Revised.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
470,Technical Training for National Teams on Information Relevant to the Achievement of the UNFCCC including Information on Gender and Climate Chan,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/470-41501-Technical Training for National Teams on Information Relevant to the Achievement of the UNFCCC including Information on Gender and Climate Chan.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
469,Recording and Reporting AI Consultancy (RFP),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/469-54758-Recording and Reporting AI - Consultancy (RFP).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
468,IPM Ladder Consultancy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/468-58771-IPM Ladder - Consultancy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
467,HHP and Alternate Consultancy (RFP),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/467-23534-HHP and Alternate - Consultancy (RFP).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
466,RFP Developing training manual for farmers and field staff regarding improving soil health,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/466-27302-RFP- Developing training manual for farmers and field staff regarding improving soil health (3).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
465,2. RFP TORs Laudes Foundation Women Activity 30072024 (2),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/465-9920-2. RFP-TORs-Laudes Foundation Women Activity 30072024 (2) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
464,Updated TOR Develop Capacity Building Plans,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/464-88648-Updated TOR-Develop Capacity Building Plans.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
463,Updated TOR Exit and Sustainable Stratgy,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/463-52659-Updated TOR-Exit and Sustainable Stratgy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
462,ToRs Designing of Living Planet Report – Youth Edition and associated creative assets,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/462-17241-ToRs_Designing of Living Planet Report – Youth Edition and associated creative assets (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
461,RFP Capacity building of field staff on alternative methods beyond synthetic fertilizers (2),General,,http://wwf.org.pk/eoffice/consultancy/consultupload/461-45964-RFP-Capacity building of field staff on alternative methods  beyond synthetic fertilizers (2) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
460,RFP Consultancy for Collection of Success stories and lesson learnt (3),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/460-86005-RFP-Consultancy for Collection of Success stories and lesson learnt (3) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
459,RFP Developing training manual for farmers and field staff regarding improving soil health (2),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/459-12261-RFP- Developing training manual for farmers and field staff regarding improving soil health (2) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
458,RFP Consultancy developing training manual on FPRW (1),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/458-95304-RFP-Consultancy- developing training manual on FPRW (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
456,RFP Capacity building of field staff on application of 4R soil nutrients management (2),General,,http://wwf.org.pk/eoffice/consultancy/consultupload/456-31850-RFP-Capacity building of field staff on application of 4R  soil nutrients management (2) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
455,RFP Capacity building of field staff on alternative methods beyond synthetic fertilizers (1),General,,http://wwf.org.pk/eoffice/consultancy/consultupload/455-7416-RFP-Capacity building of field staff on alternative methods  beyond synthetic fertilizers (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
453,RFP Capacity building of field staff on application of 4R soil nutrients management (1),General,,http://wwf.org.pk/eoffice/consultancy/consultupload/453-23153-RFP-Capacity building of field staff on application of 4R  soil nutrients management (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
452,RFP for training on Solar Drying Units (1),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/452-35491-RFP for training on Solar Drying Units (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
451,RFP for training on Apricot processing,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/451-32815-RFP for training on Apricot processing.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
450,RFP Hydrologist & carbon Sink GB 2024,GIS/Mapping,GB,http://wwf.org.pk/eoffice/consultancy/consultupload/450-36963-RFP-Hydrologist & carbon Sink-GB-2024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
449,RFP Aquatic Ecologist GB 2024,GIS/Mapping,GB,http://wwf.org.pk/eoffice/consultancy/consultupload/449-39934-RFP -Aquatic Ecologist-GB-2024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
448,RFP Herpetologist GB 2024,GIS/Mapping,GB,http://wwf.org.pk/eoffice/consultancy/consultupload/448-64108-RFP -Herpetologist-GB-2024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
447,RFP Botanist GB 2024,General,GB,http://wwf.org.pk/eoffice/consultancy/consultupload/447-85753-RFP-Botanist-GB-2024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
446,RFP Mammologist GB 2024,GIS/Mapping,GB,http://wwf.org.pk/eoffice/consultancy/consultupload/446-50386-RFP-Mammologist-GB-2024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
445,HSSE training ToR,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/445-28454-HSSE training ToR.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
444,Tetra Pak Report Design TORs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/444-97890-Tetra Pak Report Design TORs.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
443,TOR External Audit RPLC,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/443-92449-TOR-External Audit RPLC.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
442,TORs RP video,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/442-25970-TORs RP video (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
441,TOR Poultry rearing (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/441-83850-TOR- Poultry rearing (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
440,TOR NTFP Trianing,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/440-81194-TOR-NTFP Trianing_V1.1 (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
439,TORs Training on sustainable financial managment,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/439-88766-TORs-Training on sustainable financial managment_V1.1 (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
438,"TOR Baseline Assessment of Indigenous Grasses, shrubs, and sedges for Ecosystem Restoration Planning WRAP Project",Assessment/Study,,"http://wwf.org.pk/eoffice/consultancy/consultupload/438-60936-TOR-Baseline Assessment of Indigenous Grasses, shrubs, and sedges for Ecosystem Restoration Planning-WRAP Project.pdf",https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
437,RFP BMZ Awareness Events with communities,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/437-34926-RFP_BMZ_Awareness Events with communities.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
436,TOR Leadership Excellence,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/436-36683-TOR-Leadership Excellence.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
435,HSSE training TORs,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/435-20262-HSSE training TORs.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
434,RFP Revised,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/434-88459-RFP_Revised.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
433,Final TOR VFM Softwear 4.6.2024,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/433-90950-Final TOR VFM Softwear 4.6.2024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
432,RFP BMZ TrainingLinkage development 2024 Khi Final (2),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/432-65585-RFP_BMZ_TrainingLinkage development_ 2024-Khi_Final (2) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
431,Livestock management TOR(2),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/431-59277-Livestock management TOR(2) (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
430,RFP CQI and IRCA Certified ISO 14001 2015 Lead AuditorTraining,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/430-11848-RFP_CQI and IRCA Certified ISO 14001-2015 Lead AuditorTraining (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
429,ToRs Desigining Winter Road Ecology Report,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/429-74041-ToRs_Desigining Winter Road Ecology Report.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
428,2.TOR TU Dresden,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/428-83935-2.TOR-TU Dresden.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
427,TORs Organic cotton production impact assessment consultancy,Assessment/Study,,http://wwf.org.pk/eoffice/consultancy/consultupload/427-87694-TORs-Organic cotton production impact assessment consultancy.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
426,TOR People Management Tool Kit,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/426-78307-TOR - People Management Tool Kit.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
425,TOR Trianing on BMPs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/425-94598-TOR-Trianing on BMPs (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
424,Structuring of Green Financing Instruments Updated,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/424-35838-Structuring of Green Financing Instruments_Updated.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
423,TOR Leadership Training For Emerging Leaders,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/423-95868-TOR-Leadership Training For Emerging Leaders.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
422,RFP of Hydrogeological Study for AWS Standard Implementation in Landhi and Korangi Industrial Area of Karachi.,Assessment/Study,Karachi,http://wwf.org.pk/eoffice/consultancy/consultupload/422-94589-RFP of Hydrogeological Study for AWS Standard Implementation in Landhi and Korangi Industrial Area of Karachi..pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
421,Design of Ecotourism Plan and Ecotourism Training Manual,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/421-15495-Design of Ecotourism Plan and Ecotourism Training Manual.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
420,RFP BEPA LAB ASSESSMENT 02042024,Assessment/Study,,http://wwf.org.pk/eoffice/consultancy/consultupload/420-87998-RFP_BEPA LAB ASSESSMENT_02042024.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
419,TORs for Structural design APWASI,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/419-84094-TORs for Structural design_APWASI.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
418,TORs DRR stories and case studies new,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/418-22411-TORs-DRR stories and case studies new (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
417,TORs Climate smart projects assessment consultancy,Assessment/Study,,http://wwf.org.pk/eoffice/consultancy/consultupload/417-96515-TORs-Climate smart projects assessment consultancy (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
416,ToRs Annual Financial Audit BMZII 2023,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/416-31533-ToRs_Annual Financial Audit BMZII 2023.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
415,RFP of Hydrogeological Study for AWS Standard Implementation in Landhi and Korangi Industrial Area of Karachi.,Assessment/Study,Karachi,http://wwf.org.pk/eoffice/consultancy/consultupload/415-82707-RFP of Hydrogeological Study for AWS Standard Implementation in Landhi and Korangi Industrial Area of Karachi..pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
414,WSC training ToRs,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/414-70173-WSC training ToRs_final.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
412,TORs Consultancy GroundWater Quality Assessment and Indexing,Assessment/Study,,http://wwf.org.pk/eoffice/consultancy/consultupload/412-8259-TORs Consultancy GroundWater Quality Assessment and Indexing.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
411,FINAL TORs AVC Trainer for Pre and post harvest losses Training,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/411-56949-FINAL TORs_AVC Trainer for Pre and post harvest losses Training_V1.1 (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
410,Final ToRs for Internal Audit BTASP (sub),Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/410-83979-Final_ToRs for Internal Audit BTASP (sub).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
409,TOR Training on Sustainable and Green Building Design for Textile and Leather Industries.,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/409-23570-TOR-Training on Sustainable and Green Building Design for Textile and Leather Industries.  .pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
408,Designing and Printing of Material,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/408-83958-Designing and Printing of Material.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
407,RFP Comms material,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/407-1536-RFP Comms material.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
